DISTRITO FEDERAL,DEPUTADO FEDERAL,2215,JUSTINO CARVALHO DA SILVA,JUSTINO CARVALHO,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO FEDERAL,5055,ERICK VINICIUS ANDRADE DA ROCHA,ERICK ANDRADE,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
DISTRITO FEDERAL,DEPUTADO FEDERAL,2740,RODGER ROBERTO ALVES DE SOUSA,RODGER DO GRUPO DE EMPREGOS,27,DC,DEMOCRACIA CRISTÃ
DISTRITO FEDERAL,DEPUTADO DISTRITAL,22140,EDILSON ALVES DOS SANTOS,EDILSON,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,22722,FRANCISCO FERNANDO ALVES REIS,FERNANDO REIS,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,20321,MARCIO VALERIO MENDONCA TOMAZ,VALERIO BANDA MARANATHA,20,PSC,PARTIDO SOCIAL CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,43061,ERIDAN STEFANELLI DE OLIVEIRA,DRA. ERIDAN STEFANELLI,43,PV,PARTIDO VERDE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14145,STANLEY BARRETO SALGADO,STANLEY SALGADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,22225,ADRIANE PEREIRA DE FRANCA,INDIA,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,13180,HELLEN CRISTHYAN CORREIA BOAVENTURA,HELLEN FRIDA,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15123,WELLINGTON LUIZ DE SOUZA SILVA,WELLINGTON LUIZ,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,45222,MARISMAR REIS DA SILVA,MARA DE TODOS,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO FEDERAL,5011,NATHAN BELCAVELLO DE OLIVEIRA,NATHAN BELCAVELLO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,35777,ELAINE MOURAO FERNANDES,MC LANA,35,PMB,PARTIDO DA MULHER BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15200,DOLORES MOREIRA DA COSTA FERREIRA,PSICOLOGA DOLORES FERREIRA,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,SENADOR,333,EVERARDO ALVES RIBEIRO,JUIZ EVERARDO RIBEIRO,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,19456,ANTONIO SANTOS MENDES,ANTONIO MENDES,19,PODE,PODEMOS
DISTRITO FEDERAL,DEPUTADO DISTRITAL,45001,HELCIMAR EVANGELISTA DA SILVA,PROFESSORA HELCIMAR,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,30008,MARCOS SOUTO DE LIMA,CORONEL SOUTO,30,NOVO,PARTIDO NOVO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,20211,MONICA DE MENEZES DE ASSIS,MONICA D  AIDE,20,PSC,PARTIDO SOCIAL CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,20350,MARIA JAIDE MARINHO DE OLIVEIRA,SGT JAIDE,20,PSC,PARTIDO SOCIAL CRISTÃO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,25200,VALDEMAR SILVA DE SOUSA,DJAVAN,25,DEM,DEMOCRATAS
DISTRITO FEDERAL,DEPUTADO DISTRITAL,31133,WELLINGTON CAPISTRANO FERREIRA NOBRE,CAPISTRANO,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE
DISTRITO FEDERAL,DEPUTADO FEDERAL,1005,SENIRA RODRIGUES RAMALHO,SENIRA RAMALHO,10,PRB,PARTIDO REPUBLICANO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,55444,ISAIAS LEAO MACHADO FELIX,ISAIAS LEAO,55,PSD,PARTIDO SOCIAL DEMOCRÁTICO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,50442,ILKA TEODORO,ILKA TEODORO,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,43017,MARLENE DAMAZIO PAULINO,MARLENE DAMAZIO,43,PV,PARTIDO VERDE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,15021,FERNANDO ANTONIO MIRANDA DE VASCONCELOS,FERNANDO VASCONCELOS,15,MDB,MOVIMENTO DEMOCRÁTICO BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,54123,ERIVALDO ALVES PEREIRA,ERIVALDO ALVES,54,PPL,PARTIDO PÁTRIA LIVRE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14266,SEBASTIANA DA SILVA FREIRE,TIANA FREIRE,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,13000,ERICO GRASSI CADEMARTORI,ERICO GRASSI,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO DISTRITAL,13122,SANTIAGO DA SILVA FRANCA,DR. SANTIAGO,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,PRIMEIRO SUPLENTE,131,OLGA CRISTINA ROCHA DE FREITAS,OLGA CRISTINA,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO FEDERAL,4516,WILMAN NEPOMUCENO DA SILVA,WILMAN NEPOMUCENO DA SILVA,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,17444,TANIA MARQUES SILVA,TANIA MARQUES,17,PSL,PARTIDO SOCIAL LIBERAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,17333,ALMACHIO REZENDE BARRETO DA ROCHA,ALMACHIO ROCHA,17,PSL,PARTIDO SOCIAL LIBERAL
DISTRITO FEDERAL,DEPUTADO FEDERAL,4477,ELISANGELA MACHADO DOS SANTOS DE FREITAS,ELISA ROBSON,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO FEDERAL,9099,TANIA ALVES VIANA PIRES,TANIA PIRES,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,54180,ANDREIA CANDIDA DA SILVA BANDEIRA,ANDREIA BANDEIRA,54,PPL,PARTIDO PÁTRIA LIVRE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,33023,ROSIRENE SANTOS DE SOUZA DA SILVA,ROSE SOUZA,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,70170,ALFREDO CARNEIRO DOS SANTOS JUNIOR,ALFREDO JUNIOR,70,AVANTE,AVANTE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,70800,CRISTIA CORREA DE LIMA,CRISTIA LIMA,70,AVANTE,AVANTE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14400,ALEX ALVES NEVES,ALEX NEVES,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,22180,ANTONIO CRISPIM DE OLIVEIRA,ANTONIO CRISPIM,22,PR,PARTIDO DA REPÚBLICA
DISTRITO FEDERAL,DEPUTADO DISTRITAL,11300,LUIZ AFONSO LUSTOSA DO AMARAL,LUIZ AFONSO,11,PP,PARTIDO PROGRESSISTA
DISTRITO FEDERAL,DEPUTADO FEDERAL,1818,LEOCLIDES MILTON ARRUDA,LEOCLIDES ARRUDA,18,REDE,REDE SUSTENTABILIDADE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14110,EDSON DAGOBERTO RABELLO DA SILVA,EDSON RABELLO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,90333,JOANA D ARC TAVARES DE SOUZA SANTOS,JOANA D ARC (PORTO RICO),90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
DISTRITO FEDERAL,DEPUTADO DISTRITAL,35333,MARIA DO CARMO PAULINO MESQUITA RAMOS,MARIA DO CARMO PAULINO,35,PMB,PARTIDO DA MULHER BRASILEIRA
DISTRITO FEDERAL,VICE-GOVERNADOR,40,EDUARDO DUTRA BRANDAO CAVALCANTI,EDUARDO BRANDAO,43,PV,PARTIDO VERDE
DISTRITO FEDERAL,DEPUTADO DISTRITAL,14144,AIRAM OLIVEIRA ALVES CORREIA,AIRAM,14,PTB,PARTIDO TRABALHISTA BRASILEIRO
DISTRITO FEDERAL,DEPUTADO DISTRITAL,36036,IVAN JOSE DE ALMEIDA JUNIOR,IVAN JOSE,36,PTC,PARTIDO TRABALHISTA CRISTÃO
DISTRITO FEDERAL,SEGUNDO SUPLENTE,131,JOSE ALVES DA SILVA,ZE ALVES,13,PT,PARTIDO DOS TRABALHADORES
DISTRITO FEDERAL,DEPUTADO DISTRITAL,65100,FRANCISCO RODRIGUES DA SILVA NETO,CHIQUINHO DE SAMAMBAIA,65,PC do B,PARTIDO COMUNISTA DO BRASIL
